epoch,global_step,lr,train_loss,val_loss,dev_bleu,dev_chrf_pp,empty_pct,avg_len,unique_ratio,best_val_loss,best_dev_chrf,no_improve,elapsed_s
23,34155,0.00023913209831603538,3.8671030389923033,3.528666150084524,14.855965069985919,40.10790410756789,0.0,22.845,0.3565331582403152,3.528666150084524,40.10790410756789,0,440.6891236305237
24,35640,0.0002340971744664035,3.8524194168165202,3.5135701850052743,14.11566108772565,39.714035378615364,0.0,22.37,0.35337505587840856,3.5135701850052743,40.10790410756789,1,441.88535046577454
25,37125,0.0002293674510679918,3.8446148954448778,3.510586616395237,14.699317961799508,40.01432476598269,0.0,22.365,0.3539011848871004,3.510586616395237,40.10790410756789,2,440.1843481063843
26,38610,0.0002249132901497555,3.835215573435955,3.5163235430930464,14.326479401180073,38.901525347311896,0.0,21.705,0.3513015434231744,3.510586616395237,40.10790410756789,3,429.85692620277405
27,40095,0.00022070893269573896,3.8249752151993084,3.500644594033182,14.395192674100356,39.90336203603601,0.0,22.715,0.34954875632841736,3.500644594033182,40.10790410756789,4,442.563747882843
28,41580,0.0002167318694209581,3.816071628341733,3.490176303518979,14.305144769864699,40.80602430812373,0.0,23.54,0.34367034834324556,3.490176303518979,40.80602430812373,0,443.96602511405945
29,43065,0.00021296233196439567,3.8085087549381327,3.508885550906283,12.356918622053096,39.92790581178917,0.0,25.825,0.30919651500484024,3.490176303518979,40.80602430812373,1,447.289187669754
30,44550,0.00020938287817900253,3.8014998776051243,3.494776571133981,14.836237129544704,40.595776866813054,0.0,21.975,0.36450511945392494,3.490176303518979,40.80602430812373,2,439.88491106033325
31,46035,0.0002059780516208909,3.7933913045176366,3.487988617356035,14.372448742319994,40.72342344429579,0.0,23.26,0.34995700773860705,3.487988617356035,40.80602430812373,3,441.28062415122986
32,47520,0.0002027341000420633,3.7872831951536545,3.464444552264239,15.562968670493166,41.0606819924512,0.0,22.135,0.3639033205330924,3.464444552264239,41.0606819924512,0,439.4086277484894
33,49005,0.00019963874117224616,3.783340521966107,3.4609982410783666,14.636731710709796,39.67355986433613,0.0,21.725,0.3611047180667434,3.4609982410783666,41.0606819924512,1,438.6178615093231
34,50490,0.00019668096667952112,3.7773256217734326,3.4702086325916133,14.73469400320084,40.577886387237925,0.0,22.985,0.3484881444420274,3.4609982410783666,41.0606819924512,2,443.9747552871704
